id,name,artist,popularity,duration_ms,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
7qHqlaHTawgXSvT0G1wM4q,b'Close to Home',b'Sweatshop Union',16,293666,2008,0.795,0.726,5,-6.122,0,0.212,0.409,0,0.503,0.537,96.116
0uMn8WKu3qtQLaUyal1bsz,b'Mastermind',b'Deltron 3030',55,214306,2000,0.741,0.657,0,-9.589,0,0.0374,0.00224,0.00756,0.0825,0.25,94.211
4n3U09x3m3d1pNz0Sj7WNV,b'Anything Is Everything',b'The Dynospectrum',31,293200,1998,0.898,0.546,8,-7.57,0,0.313,0.0021,0.00015,0.426,0.229,88.39
2WFggVC84b18ZkJTNgFnGP,b'believe',b'Kenichiro Nishihara',25,263960,2015,0.82,0.775,2,-7.599,1,0.223,0.59,2.59e-06,0.106,0.44,95.984
3Zl9FktbaF6nTI0cGpKYwr,b'Sunny Side Of Hell',b'Grieves',38,237106,2011,0.733,0.683,1,-5.87,1,0.18,0.114,2.15e-06,0.268,0.388,79.96
3ut5Nkw2Hbv76fpzmujOFp,b'Everything',b'Murs',37,214026,2008,0.682,0.814,8,-4.549,1,0.118,0.000443,0.000449,0.332,0.681,88.045
0pb0Y7tsJAXiPMYXatq4Og,b'On The Rocks',b'Grieves',41,185373,2011,0.592,0.509,11,-6.685,1,0.376,0.0421,0,0.0814,0.63,180.12
2sKRFpIJi1x1px6mAKewIs,b'Slow Cure',b'Common Market',25,247405,2008,0.772,0.806,2,-4.048,1,0.331,0.361,0,0.0641,0.592,85.024
3F2nXlS9FIJiaHqna12k1U,b'This Far',b'Collective Efforts',28,305853,2010,0.789,0.739,3,-7.452,0,0.169,0.531,0.0744,0.109,0.464,103.469
29jmo4Awj9WdrcQ1AK8ghv,b'Walking Away',b'Brother Ali',35,238920,2007,0.856,0.454,1,-6.192,1,0.269,0.458,1.26e-06,0.0829,0.792,89.887
3QOmgrh6ElgcPKwOAnbwgu,b'The Best Day',b'Atmosphere',57,216893,2010,0.882,0.624,6,-5.372,1,0.0681,0.358,0,0.0678,0.899,96.898
76QX42psCJ7qa37hGVhMjS,b'Southside Revival',b'Blue Scholars',24,296893,2006,0.815,0.828,6,-4.238,1,0.282,0.358,6.39e-06,0.101,0.508,89.064
51bB0OmoieIGoYZNT3RNyh,"b""The Humans' race""",b'Sweatshop Union',24,254146,2006,0.774,0.782,1,-6.594,1,0.0982,0.289,0,0.232,0.813,97.906
5PnwUFbEjJeKlXtKCEs6ET,b'Mic Like a Memory [Deluxe Edition] (feat. Kory Calico)',b'Cunninlynguists',33,276100,2001,0.486,0.565,1,-8.741,1,0.0711,0.273,0.237,0.128,0.213,92.208
7cHRys0Lhk9642dLaPUMkm,b'Soon It Will Be Cold Enough to Build Fires',b'Emancipator',57,180520,2008,0.707,0.467,7,-15.094,0,0.0488,0.849,0.685,0.0957,0.419,94.417
